eps,mean,bias,std,rmse
0.01,0.01850207477464795,-0.00025994257119894143,0.0037395481918184085,0.0037448394328590353
0.015848931924611134,0.018590500530857017,-0.00017151681498987423,0.0029518043597850045,0.0029538349138557387
0.025118864315095794,0.018653688191107062,-0.00010832915473982935,0.0023624765598545786,0.0023625977462609343
0.039810717055349734,0.018678756168075787,-8.326117777110453e-05,0.0018950430201659465,0.0018949770700214144
0.06309573444801933,0.01869038467650038,-7.16326693465108e-05,0.0015180405228926617,0.0015182125590323789
0.1,0.018702497922520996,-5.9519423325896104e-05,0.0012093884503798643,0.0012096436437304306
0.15848931924611143,0.01871560708331509,-4.6410262531802055e-05,0.000945542045718066,0.0009457354668027072
0.25118864315095807,0.018727019636280266,-3.4997709566626095e-05,0.0007346693830592086,0.0007347683062535423
0.3981071705534973,0.01873369118177618,-2.8326164070710536e-05,0.0005780835558068154,0.0005781994533638231
0.6309573444801934,0.018725513505836747,-3.6503840010145006e-05,0.0004560050219953146,0.0004570090034783382
1.0,0.018685121109920846,-7.689623592604597e-05,0.0003551569270094288,0.0003630388422975831
1.584893192461114,0.018576866227228997,-0.00018515111861789474,0.00027473843126688306,0.00033107579181996307
2.5118864315095824,0.018318430396787967,-0.0004435869490589245,0.0002071081139701769,0.0004894664081486539
3.981071705534973,0.01774006499465288,-0.001021952351194011,0.0001468206341204473,0.0010324242316592975
6.309573444801936,0.016576383817462806,-0.002185633528384086,9.511288846916883e-05,0.002187697942821748
10.0,0.014605771067025665,-0.004156246278821227,5.47459540093361e-05,0.004156606098183554
15.848931924611133,0.011910623135393865,-0.006851394210453027,2.929739721240792e-05,0.006851456724510321
